名言,作者,类别
一个人愈知道时间的价值，愈感觉失时的痛苦呀,但丁,
那同时又是泉所不能理解的梦幻。那时她所追逐的是另一形式的梦幻，是另外一个世界。村上春树,。那时她所追逐的是另一形式的梦幻村上春树,
我们不得不饮食睡眠游玩恋爱，也就是说，我们不得不接触生活中最甜蜜的事情，不过我们必须不屈服于这些事物。,居里夫人,
你不可能代替谁负起责任。这里好比沙漠，我们大家只能适应沙漠。村上春树,。这里好比沙漠村上春树,
受惠的人，必须把那恩惠常藏心底，但是施恩的人则不可记住它。,西塞罗,
脑力心力，要放在适当的地方，莫贪多而纷乱，要常常集中思想。,裴斯泰洛齐,
习惯优于格言。习惯是以有生命的格言为本能，加血添肉而成。亚美路,。习惯是以有生命的格言为本能亚美路,
我们曾经为欢乐而斗争，我们将要为欢乐而死。因此，悲哀永远不要同我们的名字联在一起。伏契克,。因此伏契克,
对于不屈不挠的人来说，没有失败这回事。,俾斯麦,
人在必然世界里有一个有限之极，在希望世界里则有一个无限之极。,泰戈尔,
真理穿了衣裳觉得事实太拘束了，在想象中，她却转动得很舒畅。,泰戈尔,
瓜是长大在营养肥料里的最甜，天才是长在恶性土壤中的最好。,培根,
生活就像海洋，只有意志坚强的人，才能到达彼岸。,马克思,
对于一个人来说，在这个世界上的首要问题，是要找到他应做的工作。,托·卡莱尔,
爱情存在于奉献的欲望之中，并把情人的快乐视作自己的快乐。,斯韦登伯格,
女人最可贵的两种品质，那就是辨别善恶的能力和羞耻心。,乔万尼奥里,
要对别人隐瞒我们知识的局限，最可靠的方法就是不要越过那界限。,莱奥帕尔迪,
你的心灵常常是战场。在这个战场上，你的理性与判断和你的热情与嗜欲开战。纪伯伦,。在这个战场上纪伯伦,
书籍把我们引入最美好的社会，使我们认识各个时代的伟大智者。,史迈尔斯,
乐观是一首激昂优美的进行曲，时刻鼓舞着你向事业的大路勇猛前进。,大仲马,
和你一同笑过的人，你可能把他忘掉，但是和你一同哭过的人，你却永远不忘。,纪伯伦,
只有把抱怨环境的心情，化为上进的力量，才是成功的保证。,罗曼·罗兰,
读书时，我愿在每一个美好思想的面前停留，就像在每一条真理面前停留一样。,爱默生,
人生犹如一本书，愚蠢者草草翻过，聪明人细细阅读。为何如此。因为他们只能读它一次。保罗,。为何如此。因为他们只能读它一次保罗,
人，最理想的是从事永久不灭的事业，这也是生命对人类的要求。,武者小路实笃,
如果你的道德观念令你消沉，那它们就一定是错误的道德观念。,史蒂文生,
在平静的水里，上帝会保佑我在惊涛骇浪里，我只能保护自己。,乔·赫伯特,
抛弃今天的人，不会有明天而昨天，不过是行去流水。,约翰·洛克,
不要将过去看成是寂寞的，因为这是再也不会回头的。应想办法改善现在，因为那就是你，毫不畏惧地鼓起勇气向着未来前进。朗费罗,。应想办法改善现在朗费罗,
浪费时间是所有支出中最奢侈最昂贵的。,富兰克林,
懒惰象生锈一样，比操劳更能消耗身体经常用的钥匙，总是亮闪闪的。,富兰克林,
书籍是在时代的波涛中航行的思想之船，它小心翼翼地把珍贵的货物运送给一代又一代。,培根,
你知道得很多，但如果你不把你的知识用于你的需要，那就没有什么用处。,彼特拉克,
所谓友情，是平等的人们之间离开了利益关系的交易。,哥尔斯,
能强烈吸引我的，不是可以量化可以一般化的外在美，而是潜在的某种绝对的什么。,村上春树,
路是脚踏出来的，历史是人写出来的。人的每一步行动都在书写自己的历史。吉鸿昌,。人的每一步行动都在书写自己的历史吉鸿昌,
每一种挫折或不利的突变，是带着同样或较大的有利的种子。,爱默生,
悲观的人虽生犹死，乐观的人永生不老。,拜伦,
要成功不需要什么特别的才能，只要把你能做的小事做得好就行了。,维龙,
谁若游戏人生，他就一事无成谁不能主宰自己，便永远是一个奴隶。,歌德,
虽然人人都企求得很多，但所需要的却是微乎其微。因为人生是短暂的，人的命运是有限的。歌德,。因为人生是短暂的歌德,
人要是惧怕痛苦，惧怕种种疾病，惧怕不测的事情，惧怕生命的危险和死亡，他就什么也不能忍受了。,卢梭,
侮辱那些无法要你道歉的人，本身就是怯懦的表现。,米克沙特·卡尔曼,
一个有坚强心志的人，财产可以被人掠夺，勇气却不会被人剥夺的。,雨果,
人生就是学校。在那里，与其说好的教师是幸福，不如说好的教师是不幸。海贝尔,。在那里海贝尔,
谦和的态度常会使别人难以拒绝你的要求。这也是一个人无往不胜的要诀。松下幸之助,。这也是一个人无往不胜的要诀松下幸之助,
天行健，君子以自强不息地势坤，君子以厚德载物。,,
适当低调，时常微笑不要啰嗦，活得洒脱,,
没有铁锨挖洞难，没有志气进取难。,,
我们唯一不会改正的缺点是软弱。,拉罗什福科,
私心胜者，可以灭公。,林逋,
人人好公，则天下太平人人营私，则天下大乱。,刘鹗,
没有松柏性，难得雪中青。,,
理想是力量，意志是力量，知识是力量。,,
志在顶峰的人，不在半坡留连。,,
无志山压头，有志人搬山。,,
当幸运之神要赠给成功的冠冕之前，往往会用逆境严峻地考验你，看看你的耐力与勇气是否足够。,,
