名言,作者,类别
明者因时而变，知者随事而制。,桓宽,
良辰难再，人生中大好的时刻，不要去作旧梦重圆的事。,佚名,
世界上有许多好书，但这些书仅仅对那些会读它们的人才是好的,皮丁,
事业有成，且别以为是命运之神为你带来的。,,
不想当元帅的士兵不是好士兵。,拿破仑,
一个成功的人是以幽默感对付挫折的。,詹姆斯·潘,
天行健，君子以自强不息。周易·乾·象,《周易·乾·象》,
黄沙百战穿金甲，不斩楼兰终不还,李白,
一个将军不可缺少的品质是刚毅,塔西佗,
天地之性，人为贵。,刘秀,
一个精神生活很充实的人，一定是颐和园很有理想的人，一定是一个很高尚的人，一定是一个只做物质的主人而不做物质的奴隶的人。,陶铸,
没有真挚朋友的人，是真正孤独的人。,,
家教宽中有严，家人一世安然。,吕近溪,
德行比人情世故更难获得；青年人失掉了德行是很少能够再恢复的，其实这并不是在家庭里面进行教育的必然结果，也并不是无法医治的毛病。,,
礼仪是微妙的东西，它既是人类间交际不可或缺的，也是不可过于计较的。如果把礼仪看得高于一切，结果就会失去人与人真诚的信任。因此在语言交际中要善于找到一种分寸，使之既直爽又不失礼。这是最难又是最好的。,,
心如大地者明，行如绳墨者彰。,刘向,
海纳百川，有容乃大，襟三江而带五湖。,墨翟,
所谓恶人，无论有过多么善良的过去，也已滑向堕落的道路而消逝其善良性；所谓善人，即使有过道德上不堪提及的过去，但他还是向着善良前进的人,,
富贵不能淫，贫贱不能移，威武不能屈。,孟轲,
故天将降大任于斯人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，曾益其所不能。,,
一个人只要热爱自己的祖国，有一颗爱国之心，就什么事情都能解决。什么苦楚，什么冤屈都受得了。冰心,。什么苦楚冰心,
爱国心是基于大义，本于大德。,佚名,
爱国的主要方法，就是要爱自己所从事的事业。,,
目标既定，在学习和实践过程中无论遇到什么困难曲折都不灰心丧气，不轻易改变自己决定的目标，而努力不懈地去学习和奋斗，如此才会有所成就，而达到自己的目的。,吴玉章,
奋斗这一件事是自有人类以来天天不息的。,,
如果有一天，我能够对我的公共利益有所贡献，我就会认为自己是世界上最幸福的人了。,果戈里,
最美好的，也是最痛苦的就是爱情最大高贵的也是最低贱的就是婚姻和家庭。,,
夫志当存高远，慕先贤，绝情欲，弃疑滞，使庶几之志，揭然有所存，恻然有所感；忍屈伸，去细碎，广咨问，除嫌吝，虽有淹留，何损于美趣，何患于不济，意不慷慨，徒碌碌滞于俗，默默束于情，永窜伏于平庸，不免于下流矣。,,
玉不啄，不成器人不学，不知道。,《礼记》,
读书有三到，谓心到，眼到，口到。心不在此，则眼看不仔细，心眼既不专一，却只漫诵浪读，决不能记，久也不能久也。朱熹,。心不在此朱熹,
书犹药也，善读之可以医愚。,刘向,
莫等闲，白了少年头，空悲切。,岳飞,
书卷多情似故人，晨昏忧乐每相亲。,于谦,
书犹药也，善读之可以医愚。,刘向,
发奋识遍天下字，立志读尽人间书。,苏轼,
饭可以一日不吃，觉可以一日不睡，书不可以一日不读。,毛泽东,
为中华之崛起而读书。,周恩来,
韬略终须建新国，奋发还得读良书。,郭沫若,
读书也像开矿一样沙里淘金,赵树理,
读书忌死读，死读钻牛角。,叶圣陶,
不怕读得少，只怕记不牢。,徐特立,
阅读的最大理由是想摆脱平庸，早一天就多一份人生的精彩迟一天就多一天平庸的困扰。,余秋雨,
如果把生活比喻为创作的意境，那么阅读就像阳光。,池莉,
伟大的成绩和辛勤劳动是成正比例的，有一分劳动就有一分收获，日积月累，从少到多，奇迹就可以创造出来。,鲁迅,
读过一本好书，像交了一个益友。,藏克家,
读书也像开矿一样，沙里淘金,赵树理,
好书是伟大心灵的富贵血脉。,弥尔顿,
读一本好书，就是和许多高尚的人谈话。,歌德,
读书时，我愿在每一个美好思想的面前停留，就像在每一条真理面前停留一样。,爱默生,
书籍是培育我们的良师，无需鞭笞和棍打，不用言语和训斥，不收学费，也不拘形式。,德伯里,
书籍是人类进步的阶梯。,高尔基,
理想的书籍是智慧的钥匙。,托尔斯泰,
重要的不是知识的数量，而是知识的质量，有些人知道很多很多，但却不知道最有用的东西。,托尔斯,
在所阅读的书本中找出可以把自己引到深处的东西，把其他一切统统抛掉，就是抛掉使头脑负担过重和会把自己诱离要点的一切。,爱因斯坦,
书到用时方恨少，事非经过不知难。,陆游,
旧书不厌百回读，熟读精思子自知。,苏轼,
书痴者文必工，艺痴者技必良。,蒲松龄,
读书百遍，其义自见。,《三国志》,
不读书的人是没有前途的，不读书的民族是没有前途的。,温家宝,
立身以立学为先，立学以读书为本。,欧阳修,
黑发不知勤学早，白发方悔读书迟。,颜真卿,
鸟欲高飞先振翅，人求上进先读书。,李苦禅,
立志宜思真品格，读书须尽苦功夫。,阮元,
立志宜思真品格，读书须尽苦功夫。,阮元,
书籍是屹立在时间的汪洋大海中的灯塔。,惠普尔,
书虫将自己裹在言辞之网中，只能看见别人思想反应出来的事物的朦胧影象。W哈兹里特,,
书是唯一不死的东西,丘特,
书中横卧着整个过去的灵魂。,卡莱尔,
人的影响短暂而微弱，书的影响则广泛而深远。,普希金,
书不仅是生活，而且是现在过去和未来文化生活的源泉。,库法耶夫,
如果不想做点事情，就甭想到达这个世界上的任何地方。,,
障碍与失败，是通往成功最稳靠的踏脚石，肯研究利用它们，便能从失败中培养出成功。,,
在真实的生命里，每桩伟业都由信心开始，并由信心跨出第一步。,,
恐惧自己受苦的人，已经因为自己的恐惧在受苦。,,
再长的路，一步步也能走完，再短的路，不迈开双脚也无法到达。,,
失去金钱的人损失甚少，失去健康的人损失极多，失去勇气的人损失一切。,,
要冒一险整个生命就是一场冒险，走得最远的人常是愿意去做愿意去冒险的人。,,
没有热忱，世间便无进步。,,
一个人几乎可以在任何他怀有无限热忱的事情上成功。,,
万般皆下品，唯有读书高,孔子,
学好靠信心，求教靠虚心，探求靠专心，长进靠恒心。,,
好读书，不求甚解。,陶渊明,
读书破万卷，下笔如有神。,杜甫,
勤奋出聪明，博学出智慧，多练出技巧，巧思出硕果。,,
藜羹麦饭冷不尝，要足平生五车书。,陆游,
死记硬背得不到真知识，投机取巧学不到真本领纸上谈兵学不到真本事，闭门造车结不出好硕果。,,
书到用时方恨少，事非经过不知难。,陆游,
只有不断找寻机会的人才会及时把握机会。,,
三人行，必有我师焉。择其善者而从之，其不善者而改之。孔子,。择其善者而从之孔子,
我一生的嗜好，除了革命之外，就是读书。我一天不读书，就不能够生活。孙中山,。我一天不读书孙中山,
勤奋是探求知识的舟楫，思维是探索知识的方法，请教是学习知识的妙招，练习是巩固知识的途径。,,
学习永远不晚。,高尔基,
鸟欲高飞先振翅，人求上进先读书。,李若禅,
伟人之所以伟大，是因为他与别人共处逆境时，别人失去了信心，他却下决心实现自己的目标。,,
苦想没盼头，苦干有奔头。,,
读书长知，思考长智，虚心长识，应用长技。,,
每一发奋努力的背后，必有加倍的赏赐。,,
人生是门大学问，有时退步反而更能进步，当我们面对难题不奏效时，不妨考虑退一步思考思考再前行。,,
行动是成功的阶梯，行动越多，登得越高。,,
求学无笨者，努力就成功读书没捷径，尽力能高分。,,
藏书再多，倘不阅读，就是一堆废纸读书再多，倘不应用，就是一朵不结果实的花蕾。,,
没有书籍的屋子，就像没有灵魂的躯体。,西塞罗,
莫找借口失败，只找理由成功。,,
没有天生的信心，只有不断培养的信心。,,
读书之法，在循序渐进，熟读而精思。,朱煮,
学问靠点滴积累，聪明靠思考练就博学靠学习成就，创造靠实践成功。,,
知识是智慧的火炬，勤奋是智慧的钥匙，智慧是思考的火花，创新是智慧的结晶。,,
每一个成功者都有一个开始，才能找到成功的路。,,
世上没有绝望的处境，只有对处境绝望的人。,,
巧思妙想出灵感，实践探索出成果。,,
埋头读书，抬头做人。,,
懦弱的人只会裹足不前，莽撞的人只能引为烧身，只有真正勇敢的人才能所向披靡。,,
我荒废的今日，正是昨日殒身之人祈求的明日。,,
我们这个世界，从不会给一个伤心的落伍者颁发奖牌。,,
勿将今日之事拖到明日。,,
想向别人传道，先要自己懂经。,,
学习时的苦痛是暂时的，未学到的痛苦是终生的。,,
要给学生一碗水，自己得有一桶水。,,
以其昏昏，使人昏昏以其昭昭，使人昭昭。,,
聪明的人有长的耳朵和短的舌头。,弗莱格,
如果我们都去做自己能力做得到的事，我们真会叫自己大吃一惊。,,
人生舞台的大幕随时都可能拉开，关键是你愿意表演，还是选择躲避。,,
对于最有能力的领航人风浪总是格外的汹涌。,,
人性最可怜的就是我们总是梦想着天边的一座奇妙的玫瑰园，而不去欣赏今天就开在我们窗口的玫瑰,,
成功的信念在人脑中的作用就如闹钟，会在你需要时将你唤醒。,,
强烈的信仰会赢取坚强的人，然后又使他们更坚强。,,
未遭拒绝的成功决不会长久。,,
让我们将事前的忧虑，换为事前的思考和计划吧,,
只有千锤百炼，才能成为好钢。,,
稳妥之船从未能从岸边走远。,,
读书不趁早，后来徒悔懊。清诗铎·趁早歌,,
春庭早色和烟暖午夜书声带月寒《对联集锦》,,
唯一能持久的竞争优势是胜过竞争对手的学习能力。壳牌石油策划经理,盖亚斯,
勤劳一日，可得一夜安眠勤劳一生，可得幸福长眠。,达芬奇,
学会学习的人，是非常幸福的人,米南德,
只会幻想而不行动的人，永远也体会不到收获果实时的喜悦。,,
勤奋是你生命的密码，能译出你一部壮丽的史诗。,,
对于攀登者来说，失掉往昔的足迹并不可惜，迷失了继续前时的方向却很危险。,,
奋斗者的幸福是从痛苦起步的，享乐者的痛苦是从幸福开始的。,,
忙于采集的蜜蜂，无暇在人前高谈阔论。,,
书富如入海，百货皆有。人之精力，不能兼收尽取，但得春所欲求者尔。故愿学者每次作一意求之。苏轼《东坡文集事略》,。人之精力。故愿学者每次作一意求之苏轼,
纸上得来终觉浅，绝知此事要躬行。,,
生活的激流已经涌现到万丈峭壁，只要再前进一步，就会变成壮丽的瀑布。,,
韦编屡绝铁砚穿，口诵手钞那计年。《寒夜读书》,陆游,
盆景秀木正因为被人溺爱，才破灭了成为栋梁之材的梦。,,
如果把才华比作剑，那么勤奋就是磨刀石。,,
盛年不再来，一日难再晨。及时当勉励，岁月不等人。陶渊明《杂诗》,。及时当勉励陶渊明,
山涧的泉水经过一路曲折，才唱出一支美妙的歌。,,
在所阅读的书本中找出可以把自己引到深处的东西，把其它一切统统抛掉，就是抛掉使头脑负担过重和会把自己诱离要点的一切,爱因斯坦,
好读书，不求甚解每有会意，便欣然忘食。《五柳先生传》,陶渊明,
读书破万卷，下笔如有神。《杜工部集》,杜甫,
我们自动的读书，即嗜好的读书，请教别人是大抵无用，只好先行泛览，然后决择而入于自己所爱的较专的一门或几门但专读书也有弊病，所以崐必须和现实社会接触，使所读的书活起来。《读书杂谈》,鲁迅,
爱看书的青年，大可以看看本分以外的书，即课外书譬如学理科的，偏看看文学书，学文学的，偏看看科学书，看看别人在那里研究的，究竟是怎么一回事。这样子，对于别人，别事，可以更深的了解。《鲁迅全集》,。这样子《鲁迅全集》,
只看一个人的著作，结果是不大发的你就得不到多方面的优点。必须如蜜蜂一样，采过许多花，这才能酿出蜜来。倘若叮在一处，所得就非常有限，枯燥了。鲁迅《致颜黎民》,。必须如蜜蜂一样。倘若叮在一处鲁迅,
我有八位好朋友，肯把万事指导我。你若想问真名姓，名字不同都姓何何事何故何人何时何地何去何如，好象弟弟与哥哥。还有一崐个西洋派，姓名颠倒叫几何。若向八贤常请教，虽是笨人不会错。陶行知《八位顾问》,。你若想问真名姓。还有一崐个西洋派。若向八贤常请教陶行知,
积累知识，也应该有农民积肥的劲头，捡的范围要宽，不要限制太多，牛粪人粪羊粪都一概捡回来，让它们统统变成有用的肥料，滋养作物的生长。,邓拓,
书籍当代真正的大学。,托马斯·卡莱尔,
各种蠢事，在每天阅读书的影响下，仿佛在火上一样，渐渐溶化。,雨果,
书，这是这一代对另一代人精神上的遗言，这是将死的老人对刚刚开始生活的青年人的忠告，这是准备去休息的哨兵向前来代替他的岗位的哨兵向前来代替他的岗位的哨兵的命令。,《赫尔岑论文学》,
不去读书就没有真正的教养，同时也不可能有什么鉴别力。,《赫尔岑论文学》,
读书和学习是在别人思想和知识的帮助下，建立起自己的思想和知识。,普希金,
阅读一本不适合自己阅读的书，比不阅读还要坏。我们必须会这样一种本领，选择最有价值最适合自己所需要的读物。别林斯基,。我们必须会这样一种本领别林斯基,
忙于采集的蜜蜂，无暇在人前高谈阔论。,,
不管多么险峻的高山，总是为不畏艰难的人留下一条攀登的路。,,
仅次于选择益友，就是选择好书。,考尔德,
看文字须大段精彩看，耸起精神，竖起筋骨，不要困，如有刀剑在后一般。就一段中须要透，击其首则尾应，击其尾则首应，方始是。不可按册子便在，掩了册子便忘。朱熹《朱子语类大全》,。就一段中须要透。不可按册子便在朱熹,
只有登上山顶，才能看到那边的风光。,,
饭可以一日不吃，觉可以一日不睡，书不可以一日不读。,毛泽东,
读书不趁早，后来徒悔懊。清诗铎·趁早歌,,
读万卷书，行万里路。,刘彝,
要建设，就必须有知识，必须掌握科学。而要有知识，就必须学习，顽强地耐心地学习。向所有的人学习，不论向敌人或朋友都要学习，特别是向敌人学习。斯大林,。而要有知识。向所有的人学习斯大林,
我们一定要给自己提出这样的任务第一，学习，第二是学习，第三还是学习。,列宁,
生活工作学习倘使都能自动，则教育之收效定能事半功倍。所以我们特别注意自动力之培养，使它关注于全部的生活工作学习之中。自动是自觉的行动，而不是自发的行动。自觉的行动，需要适当的培养而后可以实现。陶行知,。所以我们特别注意自动力之培养。自动是自觉的行动。自觉的行动陶行知,
重复是学习之母。,狄更斯,
加紧学习，抓住中心，宁精勿杂，宁专勿多。,周恩来,
学和行本来是有机联着的，学了必须要想，想通了就要行，要在行的当中才能看出自己是否真正学到了手。否则读书虽多，只是成为一座死书库。谢觉哉,。否则读书虽多谢觉哉,
天才不能使人不必工作，不能代替劳动。要发展天才，必须长时间地学习和高度紧张地工作。人越有天才，他面临的任务也就越复杂，越重要。阿·斯米尔诺夫,。要发展天才。人越有天才阿·斯米尔诺夫,
阅读的最大理由是想摆脱平庸，早一天就多一份人生的精彩迟一天就多一天平庸的困扰。,余秋雨,
在学习上做一眼勤手勤脑勤，就可以成为有学问的人。,吴晗,
要成为德智体兼优的劳动者，锻炼身体极为重要。身体健康是求学和将来工作之本。运动能治百病，能使人身体健康，头脑敏捷，对学习有促进作用。吴耕民,。身体健康是求学和将来工作之本。运动能治百病吴耕民,
聪明在于勤奋，天才在于积累。,华罗庚,
我的成就，当归功于精力的思索。,牛顿,
志当存高远。,诸葛亮,
足行万里路，胜读万卷书。,书摘,
略翻书数则，便不愧三餐。,陈字自,
落日无边江不尽，此身此日更须忙。,陈师道,
学习是劳动，是充满思想的劳动。,乌申斯基,
知识就是力量。,培根,
吾生也有涯，而知也无涯。,庄子,
光阴给我们经验，读书给我们知识。,奥斯特洛夫斯基,
学习使你快乐，那么应该怎么表达出来呢今天第一范文网小编给大家带来的是形容学习乐趣名言，希望你会喜欢。,,
形容学习乐趣名言精选,,
,,
夫读书将以何为哉辨其大义，以修己治人之体也，察其微言，以善精义入神之用也。,王夫之,
,,
有时间读书，有时间又有书读，这是幸福没有时间读书，有时间又没书读，这是苦恼。,莫耶,
,,
不加思考地滥读或无休止地读书，所读过的东西无法刻骨铭心，其大部分终将消失殆尽。,叔本华,
,,
读书对于我来说是驱散生活中的不愉快的最好手段。没有一种苦恼是读书所不能驱散的。孟德斯鸠,。没有一种苦恼是读书所不能驱散的孟德斯鸠,
,,
不读书的人，思想就会停止。人都向往知识，一旦知识的渴望在他身上熄灭，他就不再成为人。南森,。人都向往知识南森,
,,
先生不应该专教书，他的责任是教人做人学生不应该专读书，他的责任是学习人生之道。,陶行知,
,,
读书时要深思多问。只读而不想，就可能人云亦云，沦为书本的奴隶或者走马看花，所获甚微。王梓坤,。只读而不想王梓坤,
,,
身边永远要带着铅笔和笔记本，读书和谈话时碰到的一切美妙的地方和话语都把它记下来。,列夫·托尔斯泰,
形容学习乐趣名言大全,,
,,
读书，这个我们习以为常的平凡过程，实际上是人们心灵和上下古今一切民族的伟大智慧相结合的过程。,高尔基,
,,
真正的读书使瞌睡者醒来，给未定目标者选择适当的目标。正当的书籍指示人以正道，使其避免误入歧途。卡耐基,。正当的书籍指示人以正道卡耐基,
,,
少年读书，如隙中窥月中年读书，如庭中望月老年读书，如台上玩月。皆以阅历之深浅，为所得之深浅耳。张潮,。皆以阅历之深浅张潮,
,,
任何时候，我也不会满足，越是多读书，就越是深刻地感到不满足，越感到自己知识贫乏。科学是奥妙无穷的。马克思,。科学是奥妙无穷的马克思,
,,
读书越多，留存在脑中的东西越少，两者适成反比。读书多，他的脑海就像一块密密麻麻重重叠叠涂抹的黑板一样。叔本华,。读书多叔本华,
,,
书读得越多而不加思索，你就会觉得你知道得很多而当你读书而思考得越多的时候，你就会越清楚地看到，你知道得还很少。,伏尔泰,
,,
出现了不少空谈家，他们读书只是为了驳斥别人，高声宣扬自己的革命精神，以便跳到那些比较谦虚，比较严肃的同志面前去。,高尔基,
,,
当一个伟大的思想作为一种福音降临这个世界时，它对于受陈规陋习羁绊的大众会成为一种冒犯，而在那些读书不少但学识不深的人看来，却是一桩蠢事。,歌德,
,,
一种纯粹靠读书学来的真理，与我们的关系，就像假肢假牙蜡鼻子甚或人工植皮。而由独立思考获得的真理就如我们天生的四肢只有它们才属于我们。叔本华,。而由独立思考获得的真理就如我们天生的四肢叔本华,
,,
书犹药也，善读可以医愚。刘向,,
,,
书籍是全世界的营养品莎士比亚,,
,,
倘能生存，我当然仍要学习。,鲁迅,
,,
人不能像走兽那样活着，应该追求知识和美德但丁,,
,,
一个家庭中没有书籍，等于一间房子没有窗子。约翰森,,
,,
读书如饭，善吃饭者长精神，不善吃者生疾病。章学诚,,
,,
书是人类进步的阶梯，终生的伴侣，最诚挚的朋友。,高尔基,
,,
在学习中，在劳动中，在科学中，在为人民的忘我服务中，你可以找到自己的幸福。,捷连斯基,
,,
读书是学习，使用也是学习，而且是更重要的学习。,毛泽东,
,,
人不光是靠他生来就拥有一切，而是靠他从学习中所得到的一切来造就自己。,歌德,
,,
正确的道路是这样吸取你的前辈所做的一切，然后再往前走。列夫·托尔斯泰夫学须志也，才须学也。非学无以广才，非志无以成学。诸葛亮,列夫·托尔斯泰夫学须志也。非学无以广才诸葛亮,
,,
科学研究好象钻木板，有人喜欢钻薄的而我喜欢钻厚的。,爱因斯坦,
,,
学习必须与实干相结合。,泰戈尔,
,,
学而时习之，不亦说乎,孔子,
,,
鸟欲高飞先振翅，人求上进先读书。,李苦禅,
,,
求学的三个条件是多观察多吃苦多研究。,加菲劳,
,,
学习从来无捷径，循序渐进登高峰。,高永祚,
,,
活着就要学习，学习不是为了活着。,培根,
,,
立志宜思真品格，读书须尽苦功夫。,阮元,
,,
读书是易事，思索是难事，但两者缺一，便全无用处。,富兰克林,
,,
知识是引导人生到光明与真实境界的灯烛，愚暗是达到光明与真实境界的障碍，也就是人生发展的障碍。李大钊先生不应该专教书，他的责任是教人做人学生不应该专读书，他的责任是学习人生之道。陶行知,李大钊陶行知,
,,
不去读书就没有真正的教养，同时也不可能有什么鉴别力。,赫尔岑,
,,
天赋如同自然花木，要用学习来修剪。,培根,
,,
如果学生在学校里学习的结果是使自己什么也不会创造，那他的一生永远是模仿和抄袭。,列夫·托尔斯泰,
,,
无论掌握哪一种知识，对智力都是有用的，它会把无用的东西抛开而把好的东西保留住。达·芬奇,,
,,
人生最宝贵的是生命，人生最需要的是学习，人生最愉快的是工作，人生最重要的是友谊。,斯大林,
,,
要建设，就必须有知识，必须掌握科学。而要有知识，就必须学习，顽强地耐心地学习。向所有的人学习，不论向敌人或朋友都要学习，特别是向敌人学习。斯大林,。而要有知识。向所有的人学习斯大林,
,,
古今来许多世家，无非积德。天地间第一人品，还是读书。《格言联璧》在今天和明天之间，有一段很长的时间趁你还有精神的时候，学习迅速地办事。歌德,。天地间第一人品《格言联璧》歌德,
,,
一个爱书的人，他必定不致于缺少一个忠实的朋友，一个良好的老师，一个可爱的伴侣，一个温情的安慰者。,巴罗,
,,
在学习上做一眼勤手勤脑勤，就可以成为有学问的人。,吴晗,
,,
读书之法，在循序而渐进，熟读而精思。,朱熹,
生你是副作用，还不是享受那些制造过程《百变星君》对不起，我是卧底靠有没有搞错才这么点告诉你个好消息，我很喜欢你,,
一旦勇士被火焰杯选定，他就必须将比赛坚持到底。谁把自己的名字投进杯子，实际上就形成了一道必须遵守的神奇的契约。一旦成为勇士，就不允许再改变主意。邓不利多是的，一旦你选择了，就不能放弃，只有坚持下去，你没有别的办法。,,
一旦勇士被火焰杯选定，他就必须将比赛坚持到底。谁把自己的名字投进杯子，实际上就形成了一道必须遵守的神奇的契约。一旦成为勇士，就不允许再改变主意。邓不利多是的，一旦你选择了，就不能放弃，只有坚持下去，你没有别的办法。,,
对有信仰的人，死是永生之门。《失乐园》不管我活着，还是我死去，我都是一只牛虻，快乐地飞来飞去。《牛虻》亲爱的艾妮斯，我出国，为了爱你，我留在国外，为了爱你，我回国，也是为了爱你,,
对有信仰的人，死是永生之门。《失乐园》不管我活着，还是我死去，我都是一只牛虻，快乐地飞来飞去。《牛虻》亲爱的艾妮斯，我出国，为了爱你，我留在国外，为了爱你，我回国，也是为了爱你,,
我这一辈子不知道还会喜欢多少个女人不到最后我也不知道会喜欢哪一个。《阿飞正传》傻丫头，回去泡个热水澡，睡个好觉，明天早上起来满街都是男人，个个都比豹哥好。《甜蜜蜜》每一个男子全都有过这样的两个女人至少两个。,,
我这一辈子不知道还会喜欢多少个女人不到最后我也不知道会喜欢哪一个。《阿飞正传》傻丫头，回去泡个热水澡，睡个好觉，明天早上起来满街都是男人，个个都比豹哥好。《甜蜜蜜》每一个男子全都有过这样的两个女人至少两个。,,
花样年华如果，我多一张船票，你会不会跟我一起走重庆森林不知道从什么时候开始，在什么东西上面都有个日期，秋刀鱼会过期，肉罐头会过期，连保鲜纸都会过期，我开始怀疑，在这个世界上，还有什么东西是不会过期的无,,
花样年华如果，我多一张船票，你会不会跟我一起走重庆森林不知道从什么时候开始，在什么东西上面都有个日期，秋刀鱼会过期，肉罐头会过期，连保鲜纸都会过期，我开始怀疑，在这个世界上，还有什么东西是不会过期的无,,
iloveyounotbecauseofwhoyouarebutbecauseofwhoiamwheniamwithyou我爱你，不是因为你是一个怎样的人，而是因为我喜欢与你在一起时的感觉。,,
iloveyounotbecauseofwhoyouarebutbecauseofwhoiamwheniamwithyou我爱你，不是因为你是一个怎样的人，而是因为我喜欢与你在一起时的感觉。,,
炸弹决不能爆炸，炸弹不爆炸，观众就老在惴惴不安（英国）演戏的真谛就是把人生当成一场实验，在一次次的幕起幕落之间探究人生的千奇百怪和悲欢离合。,,
炸弹决不能爆炸，炸弹不爆炸，观众就老在惴惴不安（英国）演戏的真谛就是把人生当成一场实验，在一次次的幕起幕落之间探究人生的千奇百怪和悲欢离合。,,
精神振作的商人除了有小心谨慎的习惯之外还得要有敏捷和不因循两种长处想交朋友，就要先为别人做些事那些需要花时间体力体贴奉献才能做到的事。,,
精神振作的商人除了有小心谨慎的习惯之外还得要有敏捷和不因循两种长处想交朋友，就要先为别人做些事那些需要花时间体力体贴奉献才能做到的事。,,
生不能象做菜把所有的料都准备好了才下锅饮食男女给我个机会我想做好人往往都是事情改变人人却改变不了事情我是警察对曰谁知道过了明天就没事了出来混早晚都要还的无间道捍东人死了什么都完了什,,
生不能象做菜把所有的料都准备好了才下锅饮食男女给我个机会我想做好人往往都是事情改变人人却改变不了事情我是警察对曰谁知道过了明天就没事了出来混早晚都要还的无间道捍东人死了什么都完了什,,
《古惑仔之人在江湖》出来混，要讲信用，就一定要杀你全家。《那时花开》我知道这世上有人在等我，但我不知道我在等谁，为了这个，我每天都非常快乐。《肖申克的救赎》恐惧让你沦为囚犯，希望让你重获自由。,,
《古惑仔之人在江湖》出来混，要讲信用，就一定要杀你全家。《那时花开》我知道这世上有人在等我，但我不知道我在等谁，为了这个，我每天都非常快乐。《肖申克的救赎》恐惧让你沦为囚犯，希望让你重获自由。,,
我kaoi服了you大话西游世界上总有一半人不理解另一半人的快乐爱玛星星在哪里都是很亮的就看你有没有抬头去看他们玻璃樽一个时代结束了属于那个时代的一切都不复存在花样年华人生本就是,,
我kaoi服了you大话西游世界上总有一半人不理解另一半人的快乐爱玛星星在哪里都是很亮的就看你有没有抬头去看他们玻璃樽一个时代结束了属于那个时代的一切都不复存在花样年华人生本就是,,
《乱世佳人》请听我说，白瑞德，这些年来，我一定一直都爱着你，只是我不晓得。《东京爱情故事》莉香如果我在喜马拉雅山顶打电话给你，要你来接我呢完治会去接。,,
《乱世佳人》请听我说，白瑞德，这些年来，我一定一直都爱着你，只是我不晓得。《东京爱情故事》莉香如果我在喜马拉雅山顶打电话给你，要你来接我呢完治会去接。,,
停不了的爱小时侯看着满天的星斗当流星飞过的时候总是来不及许愿长大了遇见了自己真正喜欢的人却还是来不及半生缘我要你知道这个世界上有一个人会永远等着你无论是在什么时候无论你在什么地方反正你知道,,
停不了的爱小时侯看着满天的星斗当流星飞过的时候总是来不及许愿长大了遇见了自己真正喜欢的人却还是来不及半生缘我要你知道这个世界上有一个人会永远等着你无论是在什么时候无论你在什么地方反正你知道,,
在街道上與你擦身而過的某個人，也許就是你生命中的愛。（電子情書）它關得住我們的身體，卻關不住自由的心。刺激生命會自行找尋出路,,
在街道上與你擦身而過的某個人，也許就是你生命中的愛。（電子情書）它關得住我們的身體，卻關不住自由的心。刺激生命會自行找尋出路,,
真正的好朋友并不是在一起就有聊不完的话题而是在一起就算不说话也不会感到尴尬没有一百分的另一半只有五十分的两个人为你的难过而快乐的是敌人为你的快乐而快乐的是朋友为你的难过而难过的就是那些该放进心里的人冷漠有时候并不,,
真正的好朋友并不是在一起就有聊不完的话题而是在一起就算不说话也不会感到尴尬没有一百分的另一半只有五十分的两个人为你的难过而快乐的是敌人为你的快乐而快乐的是朋友为你的难过而难过的就是那些该放进心里的人冷漠有时候并不,,
每个人都应该热爱动物，因为它们很好吃。savewatershowerwithyourgirlfriend要节约用水，尽量和女友一起洗澡。lovetheneighborbutdontgetcaught要用心去爱你的邻居，不过不要让她的老公知道。,,
每个人都应该热爱动物，因为它们很好吃。savewatershowerwithyourgirlfriend要节约用水，尽量和女友一起洗澡。lovetheneighborbutdontgetcaught要用心去爱你的邻居，不过不要让她的老公知道。,,
lovestory《爱情故事》lovemeansneverhavingtosayyouresorry爱情就是不必说对不起。,,
lovestory《爱情故事》lovemeansneverhavingtosayyouresorry爱情就是不必说对不起。,,
《电子情书》youvegotmail导演诺拉伊伏朗主演汤姆汉克斯梅格莱恩从现实生活到网路上的虚拟世界，总有太多的巧合与机缘，更需要有个出口来释放自己，这个输出口就是网络。,,
《电子情书》youvegotmail导演诺拉伊伏朗主演汤姆汉克斯梅格莱恩从现实生活到网路上的虚拟世界，总有太多的巧合与机缘，更需要有个出口来释放自己，这个输出口就是网络。,,
伏特加是我们拥有的一种奢侈品，鱼子酱也是我们拥有的一种奢侈品，但时间不是。《兵临城下》我和你在一起，是因为我选择和你在一起。我不想按别人的方式去生活。《走出非洲》没有法律。没有限制。只有一条规则永远也别坠入爱河。,,
伏特加是我们拥有的一种奢侈品，鱼子酱也是我们拥有的一种奢侈品，但时间不是。《兵临城下》我和你在一起，是因为我选择和你在一起。我不想按别人的方式去生活。《走出非洲》没有法律。没有限制。只有一条规则永远也别坠入爱河。,,
我不要等我死後才發現自己沒活過（春風化雨）虛榮是我最愛的原罪。（魔鬼代言人）達賴喇嘛說的西藏諺語；能解決的事，不必去擔心；不能解決的事，擔心也沒用。,,
我不要等我死後才發現自己沒活過（春風化雨）虛榮是我最愛的原罪。（魔鬼代言人）達賴喇嘛說的西藏諺語；能解決的事，不必去擔心；不能解決的事，擔心也沒用。,,
